"lon","lat","no2","campaign","code"
4.827176,50.82895,16.5,"facade","198240"
3.949523,51.1308,19.7,"facade","198273"
4.233021,50.71527,21.5,"facade","198276"
3.205826,50.84219,28.7,"facade","198285"
5.423697,50.9247,18.4,"facade","198303"
4.433249,51.15584,36.3,"facade","198306"
4.711571,50.86373,30.9,"facade","198321"
4.430671,51.19973,47.6,"facade","198336"
4.348904,50.77079,16.8,"facade","198339"
3.861149,51.02931,19.4,"facade","198342"
4.029591,50.96722,19.7,"facade","198345"
5.08261,51.18669,19.8,"facade","198369"
3.409241,50.77919,17.1,"facade","198381"
4.695816,50.90096,20.3,"facade","198390"
5.126663,51.21011,15.6,"facade","198411"
3.49279,50.95622,23.2,"facade","198417"
4.285476,50.79042,23.9,"facade","198426"
3.673863,50.99302,17.4,"facade","198432"
4.389986,51.13358,30.5,"facade","198438"
2.93877,51.21604,30.2,"facade","198441"
5.438216,51.23207,17.1,"facade","198444"
4.460275,50.94776,31.3,"facade","198447"
3.126706,50.85995,20.1,"facade","198450"
2.99437965187881,51.1247013066102,16.5,"facade","198453"
5.328305,50.92048,22.6,"facade","198459"
5.118649,51.23936,17.1,"facade","198462"
4.933176,51.31963,18.7,"facade","198468"
4.283972,51.04676,19.9,"facade","198477"
4.424488,51.22034,35.9,"facade","198480"
4.515033,51.22638,34.2,"facade","198483"
4.633007,51.05546,22.8,"facade","198489"
5.482592,50.95952,22.7,"facade","198495"
4.701773,50.9743,18.8,"facade","198498"
5.120831,50.98364,16.2,"facade","198516"
3.88262,50.99972,22,"facade","198525"
5.148996,50.8196,15.6,"facade","198540"
2.953777,51.22085,25.5,"facade","198546"
3.740501,51.19287,21.2,"facade","198552"
4.668621,50.90949,18,"facade","198561"
2.96846,50.81206,19.1,"facade","198570"
3.31642,50.83748,17.8,"facade","198591"
3.134876,51.30581,28,"facade","198594"
3.073034,50.81998,22.6,"facade","198597"
4.359792,51.08611,32.3,"facade","198603"
3.148299,51.31348,24.1,"facade","198606"
3.948081,51.04681,45.4,"facade","198609"
4.495377,51.29257,21.8,"facade","198612"
3.207888,51.20816,26.6,"facade","198615"
4.442792,50.91527,24.6,"facade","198624"
4.447441,51.25134,32.6,"facade","198627"
4.432868,51.22366,36.5,"facade","198630"
3.669539,50.85027,17.2,"facade","198633"
4.433777,51.32129,19.2,"facade","198657"
4.37969405493586,50.9058059117046,23.2,"facade","198666"
3.271199,51.18871,20,"facade","198690"
5.607666,51.01513,17.7,"facade","198693"
3.351211,50.8419,26.5,"facade","198708"
5.032413,50.7667,17.9,"facade","198711"
3.9999371240115,50.7251001282427,15.4,"facade","198729"
3.814284,50.85523,28.3,"facade","198738"
3.74106,51.04518,28.9,"facade","198741"
5.05692,51.09118,19.4,"facade","198744"
4.144827,51.14515,24.4,"facade","198750"
4.821034,51.01784,18.1,"facade","198765"
4.49917,50.87982,23.5,"facade","198768"
3.621585,50.80118,18.4,"facade","198771"
3.77383151551681,51.0727057142653,24,"facade","198777"
4.467182,51.20216,33,"facade","198780"
4.4713,50.89158,41.7,"facade","198783"
4.31451,51.21929,33.4,"facade","198798"
3.43305,51.21466,21,"facade","198807"
3.20662,51.22596,23.6,"facade","198810"
4.467753,51.2263,29.2,"facade","198822"
3.194981,51.32719,39.6,"facade","198831"
3.097405,50.80393,20.5,"facade","198840"
3.669839,50.8373,14.3,"facade","198843"
3.655164,50.83634,15.8,"facade","198846"
3.95460184362875,50.998321650812,18.3,"facade","198852"
4.111025,51.022,22.4,"facade","198861"
5.379926,51.05978,18.8,"facade","198873"
4.267711,50.74209,22.1,"facade","198876"
4.457565,51.40089,17,"facade","198885"
3.96072054704116,51.1823311983635,18.2,"facade","198897"
4.054216,51.02602,18.3,"facade","198903"
3.36349132920944,50.8901141758316,24.8,"facade","198912"
3.272379,50.99535,20.2,"facade","198915"
4.948056,51.14815,17.2,"facade","198930"
5.085996,51.06787,25.7,"facade","198933"
4.357019,50.74733,18.5,"facade","198945"
5.565664,50.9546,16,"facade","198954"
4.691897,51.13278,31.2,"facade","198960"
3.188452,51.20371,24.3,"facade","198993"
4.86618,50.8341,16.2,"facade","198996"
3.754843,51.07638,23.5,"facade","199008"
4.709586,50.86493,23.3,"facade","199017"
3.390239,51.08027,17.5,"facade","199035"
4.477512,51.12688,22.1,"facade","199041"
3.278573,50.83938,20.6,"facade","199059"
3.612724,51.24711,23.9,"facade","199092"
3.01414,50.97419,29.9,"facade","199098"
4.455754,51.25087,26.4,"facade","199101"
4.132565,51.16667,32.2,"facade","199110"
3.79025,51.19933,32.5,"facade","199131"
3.129949,51.30825,26.7,"facade","199143"
5.557604,50.83591,21.4,"facade","199149"
4.704061,50.99478,20.7,"facade","199152"
2.649217,51.10499,27,"facade","199182"
5.46584,50.8957,18.8,"facade","199185"
4.043237,50.93635,33.3,"facade","199188"
4.936095,51.32282,18.7,"facade","199224"
4.722295,50.91277,26.3,"facade","199248"
4.342181,50.94009,21.2,"facade","199254"
3.268707,50.86418,18.5,"facade","199266"
3.829686,50.87343,23.8,"facade","199269"
4.537438,50.81652,19.6,"facade","199278"
3.689348,51.08025,18.2,"facade","199281"
2.695193,51.12877,18.9,"facade","199284"
3.709374,51.0314,23.4,"facade","199293"
3.135858,51.13636,19.6,"facade","199305"
4.331469,50.96043,22.6,"facade","199323"
4.635536,50.97692,36.6,"facade","199329"
4.397089,51.21985,40.3,"facade","199335"
4.371759,51.17202,29,"facade","199347"
5.049641,50.75512,15.1,"facade","199353"
4.524274,51.25507,18.4,"facade","199356"
5.469719,50.78426,36.9,"facade","199362"
4.758243,51.34838,26.7,"facade","199365"
4.096061,50.74714,17.1,"facade","199389"
3.297426,51.33159,25.4,"facade","199398"
4.856631,51.00306,16.5,"facade","199428"
4.019743,50.74202,19.3,"facade","199443"
4.071271,51.20827,22.2,"facade","199455"
4.887663,51.16528,19.4,"facade","199470"
4.44676,51.136,38.8,"facade","199476"
3.866935,51.073,20.6,"facade","199479"
4.421668,51.22359,45.9,"facade","199482"
3.334652,50.93103,21.3,"facade","199485"
4.663526,50.83873,19.3,"facade","199500"
2.664493,51.07281,31.8,"facade","199506"
3.301259,50.86011,21.2,"facade","199509"
4.473411,51.03803,40.2,"facade","199512"
4.947544,51.32058,28.6,"facade","199515"
4.891384,50.79957,19.2,"facade","199530"
4.089303,51.12715,29.5,"facade","199536"
3.921719,50.84061,16,"facade","199539"
5.32674,50.90964,20.1,"facade","199557"
3.361236,50.8781,20.5,"facade","199560"
4.792822,51.02066,49.1,"facade","199572"
3.409498,50.74814,21.6,"facade","199575"
4.690112,50.99169,17.2,"facade","199584"
4.214914,50.90439,19,"facade","199596"
3.283499,51.21308,19.2,"facade","199605"
5.082828,50.75223,18.9,"facade","199626"
4.395237,51.21701,36.9,"facade","199629"
3.119318,50.93828,21.9,"facade","199638"
3.248481,51.10859,17.3,"facade","199644"
4.086646,51.0368,20.3,"facade","199659"
4.561731,51.19086,24.1,"facade","199671"
2.746647,51.12933,23.5,"facade","199674"
3.67301,51.23167,21.1,"facade","199680"
4.94467,51.14138,32,"facade","199683"
3.990854,51.10897,21.7,"facade","199689"
3.218534,51.21501,27.9,"facade","199692"
4.972073,51.176,19.2,"facade","199704"
3.340032,50.8497,21.4,"facade","199707"
4.136495,51.11429,24,"facade","199713"
5.322511,50.95363,16.5,"facade","199722"
2.997065276296,51.2465558445772,22.6,"facade","199725"
5.06692,50.90937,14.8,"facade","199731"
4.694155,50.84934,19.5,"facade","199743"
3.229083,51.1372,18.7,"facade","199746"
3.878327,50.77053,23.1,"facade","199755"
3.613802,50.85115,25,"facade","199761"
5.252434,51.05461,18.4,"facade","199770"
4.245521,50.73013,23.3,"facade","199776"
4.495015,51.03377,26.6,"facade","199782"
3.427393,50.89181,27.3,"facade","199785"
4.038161,51.13957,16.8,"facade","199794"
4.457085,50.98351,21,"facade","199797"
4.46508,51.17182,28.3,"facade","199806"
3.233821,51.28108,27.3,"facade","199809"
4.340986,51.18622,24.5,"facade","199833"
4.664129,51.0534,16.1,"facade","199839"
3.969515,51.09876,19.2,"facade","199848"
4.456358,51.22151,29.7,"facade","199851"
4.445583,51.16465,24.5,"facade","199860"
5.344729,50.99795,19.6,"facade","199884"
4.5135,51.21118,42,"facade","199890"
4.18928573784192,50.8320529338371,20.2,"facade","199893"
4.522453,50.94833,17.8,"facade","199923"
4.979778,51.02138,14.2,"facade","199929"
4.22016,50.72836,22.5,"facade","199932"
4.396467,51.21522,31.3,"facade","199938"
4.47530053615768,51.3862931460988,27.4,"facade","199947"
4.423333,51.25902,36.2,"facade","199968"
4.400096,51.30915,21.9,"facade","199971"
3.760198,51.02776,26.2,"facade","200001"
2.934524,51.17767,23.1,"facade","200004"
4.890264,51.0214,15.2,"facade","200007"
4.284537,50.79508,35.2,"facade","200013"
4.461056,51.195,34.9,"facade","200016"
4.649919,50.89057,16,"facade","200019"
4.077538,50.84819,17.8,"facade","200022"
4.218586,51.1275,33.4,"facade","200028"
4.144986,51.03848,18.3,"facade","200037"
4.465699,51.02934,27.8,"facade","200040"
4.876455,51.07074,24.2,"facade","200046"
4.036124,51.20215,31.5,"facade","200052"
4.903603,51.13969,30.7,"facade","200064"
3.753917,50.96307,26.6,"facade","200073"
4.710196,51.07147,18.2,"facade","200076"
2.579447,51.099,21.5,"facade","200082"
4.489631,50.79049,24.6,"facade","200124"
4.384069,51.18263,34.6,"facade","200130"
3.758327,51.07924,24.6,"facade","200133"
4.15378675269362,51.1792581416038,21.2,"facade","200139"
4.72695,50.86926,22.3,"facade","200142"
4.448566,51.20179,32.3,"facade","200148"
4.217524,51.02766,27.8,"facade","200160"
4.733528,50.91374,21.9,"facade","200169"
3.604993,51.14854,24.1,"facade","200175"
3.993676,50.80897,15.2,"facade","200196"
4.488304,51.05518,23.9,"facade","200199"
